company_name;website;sector;country;revenue_euros;employees;founded
Roc Technologies;https://roctechnologies.com;Support Services;United Kingdom;29M;54;2011
Leask (Powerplanetonline);https://powerplanetonline.com;Ecommerce;Spain;11M;31;2004
Raven Logistic;https://palettenversand.com;Transport;Germany;3M;34;2012
Monterail;https://monterail.com;Technology;Poland;1M;36;2010
Happiny Food;https://happinyfood.de;Food & Beverage;Germany;3M;6;2010
Sphere Immo;https://sphere-immo.com;Property;France;3M;5;2011
Touch Associates;https://touchassociates.com;Sales & Marketing;United Kingdom;33M;69;2009
fleXstructures;https://flexstructures.com;Technology;Germany;2M;15;2012
Green Giraffe;https://green-giraffe.eu;Financial Services;The Netherlands;13M;55;2010
Manifone;https://manifone.com;Telecoms;France;3M;11;2006
Green Energy Options (Geo);https://geotogether.com;Technology;United Kingdom;26M;56;2006
